query,title,query_count,title_count,cooccurrence,npmi,similarity
nüvi,nuvi,472,576,33,0.6632014401183065,0.9999998807907104
aprons men,apron men,4482,720,37,0.5228854513999402,0.9895464181900024
luigis mansion,luigi mansion,689,444,32,0.6528998296178964,0.9863538146018982
st ives,st. ives,1430,885,37,0.5803990794945986,0.9833558797836304
wreaths front,wreath front,5010,867,75,0.5729129836598278,0.9784145355224609
jump rope,jumping rope,12800,604,66,0.5233728865936151,0.978106677532196
dr martens,dr. martens,1993,2400,83,0.5769878823986583,0.9776009321212769
childrens place,children place,1107,3528,52,0.5434349200767737,0.9765881299972534
burts bees,burt bees,5663,3519,138,0.5351898978216296,0.976245105266571
eiffle tower,eiffel tower,896,1277,35,0.5811942276843842,0.97608482837677
2 hole,two hole,1486,355,35,0.6286039820285647,0.9751005172729492
ny rangers,york rangers,802,176,31,0.6967230978485135,0.9720064997673035
dr brown,dr. brown,3705,2249,162,0.6107448404616056,0.9708678126335144
greys anatomy,grey anatomy,1510,1004,37,0.569302907900321,0.9708118438720703
plugs gap,plug gap,1112,338,44,0.6728025506641508,0.9707546234130859
mk7,mk 7,2641,771,40,0.5586442126400375,0.9639026522636414
gift sister,gifts sister,2064,1814,39,0.5186664132626256,0.9617745876312256
spiderman,spider man,16988,7021,376,0.5172410943172702,0.9614498019218445
mach 3,mach3,1119,456,52,0.6711537591982717,0.9611387252807617
five hour,5 hour,842,2095,41,0.5698976636496712,0.9609628915786743
mr coffee,mr. coffee,1167,1536,60,0.6067349463077996,0.9607279300689697
assassins creed,assassin creed,1204,412,56,0.6807434120233825,0.959934651851654
dart board,dartboard,1956,1275,38,0.5412456450815398,0.959591269493103
dr bronners,dr. bronner,3139,1652,61,0.5410814287231958,0.959261953830719
cork board,corkboard,6329,552,31,0.5016839285544615,0.9575945138931274
mr clean,mr. clean,1115,289,39,0.669852266183536,0.9575060606002808
procrastinating... side,procrastinating side,445,872,39,0.6583975483211643,0.9563220739364624
b jones,b. jones,670,212,31,0.6963419131798666,0.9545913934707642
slower feeder,slow feeder,1715,2491,43,0.5196811733343175,0.9528457522392273
amazon gift,amazon.com gift,2641,1711,91,0.5901248283164389,0.9516653418540955
dr scholls,dr. scholl,1743,2428,64,0.5587067481720941,0.9509878754615784
black decker,black+decker,13547,5245,312,0.5338479709941261,0.9508332014083862
daves killer,dave killer,646,468,33,0.6567229625466361,0.9501834511756897
sleeves arms,arm sleeves,1303,2514,31,0.5055976915690904,0.94978266954422
fridge calendar,calendar refrigerator,3068,773,31,0.5252298247225762,0.9473648071289062
hero 8,hero8,3843,526,45,0.5705146835975407,0.9471204876899719
cc cream,cc+ cream,2466,175,34,0.637993550737046,0.945723295211792
jordans skinny,jordan skinny,1143,854,34,0.5881032519049715,0.9456680417060852
active 2,active2,6198,726,38,0.5049244786652151,0.944879412651062
five love,5 love,643,525,30,0.6404551159182146,0.9445966482162476
magnet spice,magnetic spice,1689,633,42,0.6032476069128322,0.9437482357025146
everyone,everybody,5207,492,30,0.5175144116812098,0.942658007144928
ryans world,ryan world,1222,1105,33,0.5654116524084115,0.9405319094657898
zipline,zip line,2684,305,38,0.6098037101325562,0.9391878843307495
bike jersey,cycling jersey,1359,2168,32,0.5149634230455232,0.9388350248336792
sweat bands,sweatbands,4476,775,51,0.5489867472555267,0.9387888312339783
samsung s5,galaxy s5,1132,1007,45,0.6061396330316907,0.9366821050643921
bod father,dad bod,1873,1967,82,0.5926176966724834,0.9361224174499512
dad bod,bod father,1967,1873,70,0.5765035597417639,0.9361224174499512
kontrol freek,kontrolfreek,1072,401,30,0.6257934410513675,0.9357637166976929
yogury,yogurt,961,5280,40,0.502273982835123,0.9351710081100464
mrs meyers,mrs. meyer,2290,1601,63,0.5662622824898356,0.9335376024246216
steak knives,steak knife,5153,2031,100,0.5449773665766415,0.9333455562591553
plasma cutter,plasma cutting,6260,276,44,0.5780714092813064,0.9312239289283752
aunty,auntie,1698,1771,39,0.5321773400248694,0.9304022789001465
nail skin,skin nails,1216,2816,34,0.5113884843819662,0.930000364780426
pads feet,foot pads,1546,1496,55,0.5818812448895189,0.9282236099243164
snore,snoring,3084,6176,102,0.5077463408732072,0.9280735850334167
arm band,armband,1501,2568,33,0.5014131441840982,0.9275884032249451
three stone,3 stone,2349,1128,30,0.5154696280535951,0.9250295758247375
mens seiko,seiko men,818,694,32,0.6152478340492529,0.9242401123046875
gift sister,sister gifts,2064,1112,31,0.5272200332150415,0.9242141842842102
lamp berger,lampe berger,919,150,30,0.6947841358042794,0.9234131574630737
berbertine,berberine,1357,2644,61,0.5644291813254754,0.9221675395965576
eiffle,eiffel,896,1491,37,0.5770734905471305,0.9217163920402527
fungus,fungal,5504,504,57,0.5739707341709046,0.9217162728309631
sharpener stone,sharpening stone,2424,848,46,0.5716215058099315,0.9213159680366516
g7x,g7 x,2825,194,43,0.6470280523573951,0.9170543551445007
girl night,girls night,1068,1149,33,0.5712478599641875,0.9164212942123413
spf30,spf 30,1613,3393,45,0.5085724512581298,0.9147412776947021
bike gloves,cycling gloves,2741,449,42,0.5945324215064097,0.9143757820129395
coffee beans,bean coffee,2948,712,45,0.568173196061843,0.9142183661460876
hills science,hill science,1034,882,32,0.5863787468488615,0.9117558002471924
e 4,e4,887,738,31,0.6034722209359376,0.908592939376831
measuring tape,tape measure,1726,3134,46,0.5113655243055184,0.9072003960609436
popsicle molds,pop molds,2894,390,34,0.5792280084788122,0.9064089059829712
men levis,levi men,1334,3386,61,0.5498329757116455,0.9057095050811768
beaded garlands,bead garland,1697,382,43,0.6366147420875835,0.9051029682159424
fermenting,fermentation,1483,835,33,0.5706948481884945,0.9032905101776123
60 birthday,60th birthday,1588,629,58,0.640243055432367,0.9021519422531128
chacos women,chaco women,640,377,33,0.6704848148821052,0.899961531162262
sv03,sv04,2275,395,37,0.601436708966676,0.8974117040634155
14 birthday,14th birthday,1679,589,69,0.6590794996048163,0.8958902359008789
