query,title,query_count,title_count,cooccurrence,npmi,similarity
vibrator,vibrạtor,1478,246,20,0.5533372553463612,1.0000001192092896
pokemon,pokémon,4442,959,211,0.6463067408835479,1.0000001192092896
biore,bioré,84,231,22,0.7564605331576886,1.0000001192092896
pokémon,pokemon,959,4442,64,0.5069013469965008,1.0000001192092896
cock,cọck,413,86,12,0.6505620965086449,1.0000001192092896
curel,curél,32,72,11,0.8140870619289399,1.0000001192092896
fjallraven,fjällräven,734,124,24,0.6640389888296967,1.0000001192092896
nüvi,nuvi,16,342,33,0.890556177197011,1.0000001192092896
sex,séx,4602,100,15,0.5094157907844785,1.0000001192092896
sex,sêx,4602,76,16,0.5334454501123419,1.0000001192092896
odacite,odacité,17,15,15,0.9919453606447619,1.0000001192092896
piñata,pinata,98,723,15,0.6298230456378503,1.0000001192092896
brumate,brümate,31,57,19,0.8962181416567953,1.0
butt,bûtt,5660,43,16,0.5568772321819296,1.0
sucking,sụcking,1041,117,18,0.613896537039001,1.0
clitorial,clịtorial,253,112,14,0.6813369546938092,1.0
decopro,décopro,21,45,15,0.9076478264872562,1.0
didlo,dídlõ,271,58,10,0.6828172763263225,1.0
huge,hụge,2728,74,15,0.5624445252943143,1.0
lillebaby,líllébaby,16,43,14,0.9195506306139202,1.0
motley,mötley,188,44,10,0.7230769980402393,1.0
rabbit,rạbbit,4833,194,23,0.5050170061201644,1.0
tresemme,tresemmé,215,152,17,0.6932618493698433,1.0
vibrating,vibrạting,1616,114,22,0.6079626924199378,1.0
bolle,bollé,154,35,10,0.7499404844850884,0.9999999403953552
delie,delié,35,44,13,0.859100369775146,0.9999999403953552
prive,privé,27,50,10,0.8367679900663229,0.9999999403953552
vibritor,vịbritor,28,68,10,0.8152027187502021,0.9999999403953552
kanken,kånken,510,88,18,0.6789071121545248,0.9999998807907104
oréal,oreal,313,2590,24,0.5189206394858961,0.9999998807907104
crue,crüe,147,44,10,0.738505884987441,0.9999998807907104
toothpast,toothpaste,18,4240,36,0.7220601352798243,0.9885263442993164
dc.,dc,24,16041,16,0.5272432423890602,0.9875952005386353
lego.,lego,15,14515,15,0.5575794956418,0.9873213768005371
3x4,4x3,300,261,10,0.58211055720395,0.9865915775299072
stm32.,stm32,15,91,15,0.8839835878304966,0.9856665134429932
collapsable,collapsible,64,9661,33,0.5700762771909977,0.9854321479797363
beats.,beats,14,2113,12,0.6621639775379622,0.9844180345535278
truck.,truck,27,24607,21,0.5186686894388918,0.9832412004470825
meditation,meditation.,2784,82,11,0.5241103664710036,0.9813369512557983
orthopedic,orthopedics,2934,33,11,0.5782280547249347,0.9801710247993469
c.c.,c.c,17,607,10,0.7092096830863697,0.9795933961868286
12x10,10x12,96,156,11,0.6959879351848504,0.9768631458282471
shredders,shredder,125,1585,77,0.7476145482018057,0.9761780500411987
friskys,friskies,10,343,10,0.7782874828311874,0.9759916067123413
e600,e6000,18,39,10,0.8777800754565156,0.9759188294410706
billiards,billiard,410,1027,49,0.6400740441828422,0.9744946956634521
dominoes,dominos,713,164,16,0.6042468338734337,0.9742899537086487
dominos,dominoes,164,713,18,0.6165509171911584,0.9742899537086487
extenders,extender,680,6456,99,0.5528469998202207,0.9739071726799011
purifier,purifiers,3734,502,45,0.5269942081306034,0.9738145470619202
purifiers,purifier,502,3734,131,0.649012799991891,0.9738145470619202
sprinkler,sprinklers,2597,277,28,0.5426301096641363,0.9731549620628357
sprinklers,sprinkler,277,2597,57,0.6198304438772757,0.9731549620628357
peelers,peeler,91,742,22,0.6741860457092486,0.9724744558334351
dehumidifier,dehumidifiers,2028,310,74,0.6598175597312614,0.972267210483551
dehumidifiers,dehumidifier,310,2028,41,0.5923806333288006,0.972267210483551
10x8,8x10,68,5347,27,0.5845142237028975,0.9722377061843872
preworkouts,preworkout,29,509,16,0.7379877787365707,0.9716625809669495
encapsulation,encapsulations,13,965,11,0.7071635356651501,0.9713406562805176
caboodle,caboodles,34,137,26,0.8712308535337245,0.9712833166122437
trampoline,trampolines,3397,312,62,0.602031725853556,0.971193790435791
trampolines,trampoline,312,3397,50,0.5779920797177789,0.971193790435791
rollerblades,rollerblade,111,189,24,0.7614235741970582,0.971045970916748
scooter,scooters,8366,1174,134,0.5277398349660296,0.9709327220916748
scooters,scooter,1174,8366,315,0.6322485770185922,0.9709327220916748
sealers,sealer,186,3216,54,0.6266271516514367,0.9702587723731995
bevelers,beveler,18,88,19,0.9033625455686636,0.9701405763626099
humidifier,humidifiers,5956,1818,210,0.573384129362898,0.9701097011566162
humidifiers,humidifier,1818,5956,361,0.6423583251971404,0.9701095819473267
chainsaw,chainsaws,1689,129,19,0.5815931621949642,0.9698058366775513
aunty,auntie,76,383,39,0.7976072592092284,0.9697259068489075
everyone,everybody,1724,328,30,0.5660129386045556,0.9697203040122986
laminators,laminator,14,218,18,0.8539546965460395,0.9695494174957275
binders,binder,1575,8263,234,0.5723174194368779,0.9694385528564453
binder,binders,8263,1575,206,0.5568071506453658,0.9694385528564453
nightshirts,nightshirt,134,601,17,0.6347494280995418,0.9693338871002197
slicer,slicers,3887,157,28,0.5536585914174086,0.9692801833152771
tricycles,tricycle,465,1277,39,0.5908334163679008,0.969214677810669
microgreen,microgreens,86,339,22,0.729599509387824,0.9691817760467529
13x13x13,13x13,135,211,14,0.6810009432510555,0.9686065316200256
kettlebell,kettlebells,470,110,16,0.65698669983743,0.9684364199638367
casing,casings,443,87,14,0.661630103958535,0.9682801365852356
stashers,stasher,19,139,11,0.8054740700455816,0.9682599902153015
calculator,calculators,2374,154,15,0.5242255220487895,0.9680575132369995
calculators,calculator,154,2374,33,0.6056981565968382,0.9680575132369995
highlighters,highlighter,525,1115,53,0.6260126835054007,0.9680265784263611
highlighter,highlighters,1115,525,29,0.5601203267062829,0.9680265188217163
mindstorm,mindstorms,20,102,10,0.8108757161317597,0.9674989581108093
processors,processor,175,8849,104,0.6350736596299424,0.9670818448066711
bread.,bread,37,5818,30,0.6310660778743106,0.9670287370681763
dividers,divider,3594,3426,161,0.5318696154100575,0.9667913317680359
handsets,handset,692,1072,19,0.5015321801273671,0.9665907025337219
m477fdw,m477fnw,165,149,14,0.6904344861426016,0.9665619134902954
wetsuit,wetsuits,369,124,13,0.6428357181423591,0.9662168025970459
teethers,teether,269,1084,13,0.5247383056443947,0.9659753441810608
surfboard,surfboards,907,176,12,0.5552193108327129,0.9654269814491272
surfboards,surfboard,176,907,14,0.5705790119557224,0.9654269814491272
pruners,pruner,110,346,27,0.735461177383763,0.9654065370559692
slythern,slytherin,12,213,12,0.8175160704590438,0.9652764797210693
