query,title,query_count,title_count,cooccurrence,npmi,similarity
凧,紙鳶,73,22,11,0.8197081209434678,1.0000001192092896
蚊帳,蚊,260,430,11,0.5238622125968374,1.0000001192092896
琢磨,珈琲,29,788,12,0.6445420388271966,1.0000001192092896
筏,竿,125,582,25,0.6481699899960109,1.0000001192092896
錆び,剪定,450,317,50,0.6847361682623465,1.0000001192092896
拭き,拭く,1389,250,28,0.5455236086341301,1.0000001192092896
竿,筏,582,125,24,0.6432088242387343,1.0
巾,鋲,459,166,10,0.5403606073520252,0.9999998807907104
hmdi,hdmi,22,9318,34,0.6081214910798423,0.9910991191864014
エトランジェコスタリカ,エトランジェディコスタリカ,21,95,10,0.7926712730892213,0.9836969375610352
umidig,umidigi,13,187,13,0.8119078858855948,0.978165864944458
ごみ箱,ゴミ箱,285,1150,86,0.6913958294824315,0.9781346321105957
ゴミ箱,ごみ箱,1150,285,44,0.6039039718392446,0.9781346321105957
ペネロペ,ペネローペ,61,24,12,0.8373098820910664,0.9755203127861023
ルイビトン,ルイヴィトン,15,282,11,0.7521813879724633,0.9723502993583679
jackal,jackall,14,233,14,0.8005778375535881,0.9722910523414612
ゴミ袋,ごみ袋,820,221,20,0.5550046707048478,0.9703235626220703
ボボボーボボーボボ,ボボボーボ,24,34,21,0.9550667108437655,0.9658140540122986
釣竿,釣り竿,138,387,20,0.6439010125812432,0.9653995037078857
スプラトゥーン,スプラトゥーンシリーズ,148,42,14,0.7548504181728614,0.9641340970993042
yzfr,yzf,93,315,46,0.7964621694279314,0.9634932279586792
ボーボボ,ボボボーボ,49,34,13,0.8385663505169041,0.9614672660827637
二人,2人,269,1999,27,0.5088138910053867,0.9610353112220764
mistake,mistakes,14,42,14,0.9220877990857178,0.960686981678009
microsd,microsdhc,1285,384,39,0.5578180608519558,0.9599432945251465
絵の具,絵具,216,137,18,0.6740264242903079,0.9593136310577393
ブルライトカットメガネ,ブルーライトカットメガネ,29,636,11,0.6495069403048545,0.9573103785514832
lgv,lg,160,2071,39,0.5882701553946292,0.956443190574646
ledt,led,47,26205,80,0.5743698119055198,0.95526522397995
テネモスネット,テネモス,16,48,16,0.9213429261678073,0.9531568288803101
ごとく,如く,23,49,14,0.8759489476561794,0.9529275298118591
シナンジュスタイン,シナンジュ,27,50,18,0.8969541274889693,0.9523163437843323
ちゃんちゃんこ,ちゃんこ,73,49,10,0.7522282678052804,0.9519049525260925
抱っこ紐,抱っこひも,435,248,39,0.6740895056056254,0.9513369202613831
キャディー,キャディ,240,244,13,0.5874419517254291,0.9502115845680237
キャディ,キャディー,244,240,30,0.6869654888661072,0.9502115845680237
型抜き,抜き型,229,190,18,0.6461921012270937,0.9500032663345337
