query,title,query_count,title_count,cooccurrence,npmi,similarity
凧,紙鳶,147,22,11,0.764286076951666,1.0
琢磨,珈琲,29,629,12,0.6504824752214751,1.0
竿,筏,594,132,26,0.6365581252655412,1.0
筏,竿,132,594,25,0.6316651943630786,1.0
蚊取り線香,蚊,73,648,18,0.6293837951241043,0.9999998807907104
拭き,拭く,1197,99,12,0.5153951978783183,0.9999998807907104
蚊帳,蚊,131,648,12,0.5394782797536576,0.9999998807907104
巾,鋲,279,196,10,0.5508132313155596,0.9999998807907104
iphonex,iphonexs,728,498,22,0.5003212022750834,0.9747503995895386
曇ら,曇り,494,934,53,0.5874931243524407,0.9707129001617432
mistake,mistakes,14,42,14,0.9197983568646008,0.9689706563949584
ledt,led,47,19072,80,0.5866159985429458,0.962752103805542
ボボボーボボーボボ,ボボボーボ,24,21,21,0.989954503147086,0.9601885080337524
umidig,umidigi,13,139,13,0.8279491607318592,0.9574318528175354
全て,すべて,179,590,13,0.5325660891135222,0.9567844271659852
プロライターチップ,プロライターチップス,16,16,16,1.0,0.95443594455719
ごとく,如く,17,56,14,0.8846228844139287,0.951967716217041
ゲーミングキーボードテンキー,ゲーミングキーボード,19,325,13,0.738723201509085,0.9449877738952636
ペネロペ,ペネローペ,61,24,12,0.8325824490261138,0.9416908025741576
ブルーライトメガネ,ブルーライトカットメガネ,37,567,11,0.630147084903889,0.9406728744506836
ジェルネイルシール,ジェルネイル,51,527,14,0.6407602628679794,0.9397945404052734
ごみ箱,ゴミ箱,170,737,46,0.6737346966124824,0.9393115639686584
ゴミ箱,ごみ箱,737,170,24,0.5909852332302753,0.9393115639686584
ガスレンジ,ガス,24,1870,22,0.6580390958025314,0.937912940979004
xperiaxz,xperia,319,6407,75,0.5095249314493482,0.9325699210166932
キャンディ,キャンディー,252,182,10,0.5633458775435306,0.9318039417266846
眉,眉毛,353,748,64,0.6579075518328341,0.9300003051757812
眉毛,眉,748,353,44,0.6084207865346534,0.9300003051757812
ブルーカットメガネ,ブルーライトカットメガネ,43,567,14,0.647875597851609,0.9288700222969056
victorias,victoria,19,53,11,0.8479879176605599,0.9287766814231871
敷布団,敷き布団,343,219,13,0.557304714897116,0.9267932772636414
ベイブレード,ベイブレードバースト,32,102,14,0.7946730915362501,0.9263519644737244
iwc,iw,28,49,13,0.8479458049956593,0.9257358312606812
ルイビトン,ルイヴィトン,15,317,14,0.7672063246947662,0.9256986379623412
ステレオイヤホン,ステレオイヤフォン,139,160,15,0.6629611740396592,0.9254475831985474
ファイヤファースト,ファイヤーファースト,23,19,19,0.9857344231833572,0.923717439174652
サイクリンググロ,サイクリング,16,828,11,0.663124042320333,0.9220684766769408
アイイスオーヤマ,アイリスオーヤマ,12,3086,12,0.5993637628097798,0.9214448928833008
お布施,御布施,60,70,24,0.8490225359218824,0.9199934601783752
ワイパーブレード,ワイパー,33,290,24,0.7864387136991187,0.9192900657653807
jackal,jackall,14,196,14,0.8073417379845055,0.9186425805091858
プレイヤー,プレーヤー,623,1623,157,0.670764406123003,0.9179385900497437
アイブロー,アイブロウ,59,394,15,0.6597151420754469,0.9163134694099426
文庫本,文庫,145,8361,101,0.5924074357020414,0.9153197407722472
曇ら,曇,494,184,17,0.5741219662490245,0.913323700428009
スイム,スイムキャップ,98,206,20,0.7060755380473936,0.9127544164657592
ボボボーボボーボボ,ボーボボ,24,22,22,0.993431190894678,0.9109004735946656
yzfr,yzf,93,291,46,0.7962480528162186,0.9104152321815492
ハーブティ,ハーブ,16,493,12,0.7110017063009518,0.9074295163154602
microsd,microsdxc,986,580,46,0.5523538016516075,0.9056777954101562
桃木,桃,29,325,24,0.78759893262075,0.9047487378120422
ネイル,ネイルチップ,940,322,39,0.5823366148141568,0.90173077583313
掛布団,掛け布団,83,504,14,0.6084645558374967,0.9011973738670348
ファブリーズ,ファブリーズメン,97,28,12,0.7879697282154973,0.8988878726959229
microsd,microsdhc,986,277,27,0.5455990900149381,0.8968626856803894
ブルホーンハンドル,ブルホーンバー,18,13,11,0.9526854942320296,0.8967491388320923
叔母,叔母さん,172,77,24,0.761747765033685,0.8962200284004211
岸部,岸辺,17,77,14,0.8613749080698184,0.8961633443832397
タトゥー,タトゥーシール,69,235,15,0.6861435514362109,0.8944884538650513
焼き肉,焼肉,168,658,20,0.5786287456406836,0.8944381475448608
釣り堀,釣堀,14,22,11,0.9329729631532372,0.8937042355537415
サプリ,サプリメント,494,390,25,0.5631349400261126,0.893326461315155
テネモスネット,テネモス,16,48,16,0.9190088429377576,0.8926910758018494
軍,軍隊,1300,103,16,0.5385287335571332,0.8926541805267334
スタートゥインクルプリキュア,トゥインクルプリキュア,17,31,16,0.9467714978006196,0.8926441669464111
鼻,鼻筋,1462,173,63,0.6592942511479704,0.8922375440597534
飾り,飾り付け,2720,727,72,0.5071537289424234,0.8917649984359741
黒糖,黒砂糖,122,19,12,0.7994086748709669,0.8912829160690308
奈良漬け,奈良漬,41,84,21,0.845377546220386,0.8912516236305237
片付け,片づけ,108,98,16,0.7256150212793159,0.8892922401428223
ジッポ,ジッポー,43,53,13,0.8110986829342401,0.8859573602676392
モスキートコースト,モスキート,14,16,12,0.968103963526838,0.8858957290649414
ハワイアン,ハワイ,291,389,16,0.5509099299054833,0.8850951790809631
ルイビィトン,ルイヴィトン,15,317,14,0.7672063246947662,0.8844508528709412
ケジャン,カンジャンケジャン,74,44,23,0.8623459354426675,0.8835907578468323
マッサージ,マッサージャー,1835,184,36,0.5638353762904649,0.8834202885627747
炊飯,炊き,470,215,32,0.6432492455030412,0.8800145983695984
ケーニヒス,ケーニヒスクローネ,10,30,10,0.9217211496641669,0.8794394135475159
蝶,蝶々,531,110,24,0.6489787264615094,0.8787034749984741
hdml,hdmi,30,6480,78,0.7108415660629218,0.8781259059906006
bluetiooth,bluetooth,14,10790,23,0.5716878723912225,0.8773601055145264
しよ,しよう,351,288,27,0.6218126227301402,0.8748477697372437
しよう,しよ,288,351,27,0.6218126227301402,0.8748477697372437
アイロン台,アイロン,190,1705,33,0.5564619009363317,0.8732554912567139
圧しゃ,圧,31,2051,43,0.7186963909018768,0.8731164932250977
