query,title,query_count,title_count,cooccurrence,npmi,similarity
biore,bioré,1096,383,22,0.5971864710455471,1.0000001192092896
didlo,dídlõ,6011,79,10,0.5185542143113104,1.0000001192092896
kanken,kånken,2017,147,18,0.5987838977835819,1.0000001192092896
garmin nüvi,garmin nuvi,472,325,14,0.613696247742638,1.0000001192092896
crue,crüe,893,58,10,0.644566254397273,1.0000001192092896
piñata,pinata,542,2160,15,0.5018695196750238,1.0000001192092896
vibritor,vịbritor,548,94,10,0.6448767411299507,1.0000001192092896
tresemme,tresemmé,1276,234,17,0.5930141984375733,1.0000001192092896
sucking,sụcking,7086,186,18,0.5110087309043104,1.0
clitorial,clịtorial,1569,172,14,0.5809441838330013,1.0
cock,cọck,2415,113,12,0.5662983905868292,1.0
curel,curél,572,121,11,0.6369523097532241,1.0
dr.martens,dr. martens,441,2400,16,0.5134268375253693,1.0
fjallraven,fjällräven,2940,200,24,0.5853329877220944,1.0
nüvi,nuvi,472,576,33,0.6632014401183065,1.0
lillebaby,líllébaby,344,60,14,0.7299938778169617,1.0
motley,mötley,1037,58,10,0.6360640522671199,1.0
odacite,odacité,537,15,15,0.7917168585136138,1.0
prive revaux,privé revaux,174,90,10,0.7125929481724798,1.0
vibritor toy,vịbritor tọy,539,73,10,0.6601974208447933,1.0
toy women,tọy womẹn,2496,94,10,0.5586511560452313,1.0
vibrating,vibrạting,4991,162,22,0.558155873521031,1.0
brumate,brümate,944,78,19,0.6861062145987626,0.9999999403953552
motley crue,mötley crüe,893,58,10,0.644566254397273,0.9999999403953552
prive,privé,200,90,10,0.7046730198986239,0.9999999403953552
rabbit vibritor,rạbbit vịbritor,539,70,10,0.6625839533248706,0.9999999403953552
bolle,bollé,995,57,10,0.6394044206039164,0.9999998807907104
butt,bûtt,20620,64,16,0.5005348092168102,0.9999998807907104
cafe bustelo,café bustelo,391,157,10,0.6349025740630353,0.9999998807907104
decopro,décopro,663,75,15,0.6857566629746987,0.9999998807907104
delie,delié,811,72,13,0.6625538896773562,0.9999998807907104
delie fajas,delié fajas,811,57,10,0.6510330345870996,0.9999998807907104
5 dysfunctions,five dysfunctions,145,55,11,0.760511768810684,0.9929075241088868
surely everyone,surely everybody,1618,193,28,0.6383243485650318,0.9920209050178528
5 nights,five nights,685,2233,23,0.5242310519345943,0.9914827346801758
third place,3rd place,558,93,10,0.6444565585862975,0.989230453968048
everyone kung,everybody kung,1013,193,13,0.5927888439126402,0.987122118473053
7 pounds,7 lbs,716,236,10,0.5773176789705405,0.9867697954177856
chapter 2,chapter two,363,157,13,0.6639559442724838,0.9867677092552184
3x4,4x3,1110,307,10,0.5374256806133626,0.9865915179252625
four wheeler,4 wheeler,1435,260,12,0.5483251931194487,0.9862955808639526
3rd edition,third edition,1114,594,11,0.5078577901304165,0.9862316250801086
dogs pals,dog pals,351,1137,14,0.5582596529018522,0.9858497977256776
utensils caddy,utensil caddy,1374,139,10,0.5703542377918169,0.9846459627151488
150 ft,150ft,1820,311,17,0.5555091605205599,0.9838849306106568
2 hole,two hole,1486,355,35,0.6286039820285647,0.9837199449539183
beverage fridge,beverage refrigerator,1314,889,25,0.5480309845385215,0.983210265636444
veggies straws,veggie straws,263,360,11,0.619035991013998,0.9827049970626832
five panel,5 panel,305,951,12,0.56279388278619,0.9821189045906068
superheros capes,superhero capes,448,461,10,0.5659049108018036,0.982033908367157
2 stage,two stage,1639,460,12,0.507899422005581,0.9818437695503236
five hour,5 hour,842,2095,41,0.5698976636496712,0.9818263649940492
poppin cookin,popin cookin,420,64,14,0.7146783292730523,0.981306493282318
dr hauschka,dr. hauschka,356,143,20,0.7130765650243786,0.980796754360199
mr bean,mr. bean,179,60,11,0.7434911893811881,0.9806790351867676
lifter 2,lifter ii,718,98,13,0.6517866890258864,0.9803034663200378
cruiser bike,cruiser bicycle,2390,216,11,0.5220537183333978,0.979267716407776
48 ft,48ft,880,464,10,0.5271409927206863,0.9790368676185608
st tropez,st. tropez,297,159,11,0.6588120708919313,0.97862446308136
dr tobias,dr. tobias,684,309,19,0.6238661931601454,0.9783890843391418
five love,5 love,643,525,30,0.6404551159182146,0.9783518314361572
cat puns,cats puns,1903,260,20,0.5784400055007115,0.9782721996307372
dr denese,dr. denese,570,159,12,0.6296438565647172,0.9780895709991456
oneplus five,oneplus 5,464,132,18,0.6915772443179037,0.977492094039917
yeezys boost,yeezy boost,294,520,15,0.6203749763519588,0.9773243069648744
trx4,trx 4,1347,109,14,0.616237002331194,0.97732275724411
8lb,8 lb,1334,226,11,0.5528085896388446,0.9770110845565796
adriana papell,adrianna papell,249,1013,13,0.5780808604733613,0.9769288301467896
12x10,10x12,1175,576,11,0.506568976319101,0.9768631458282472
humidifiers bedroom,humidifier bedroom,3764,425,20,0.5089659948074923,0.9766861200332642
32x80,32 x80,1679,90,10,0.5836729002214389,0.9762962460517884
disruptor 2,disruptor ii,281,271,11,0.6314890474767487,0.9761307239532472
friskys,friskies,312,1549,10,0.5175547819309806,0.9759915471076964
five controller,5 controller,338,60,12,0.7156798851646358,0.9759243726730348
24 ft,24 feet,622,328,10,0.5666008699561172,0.9755653142929076
bike pedals,bicycle pedals,2043,89,13,0.5969773490711586,0.9753789305686952
microgreen growing,microgreens growing,1429,64,10,0.6122305152455252,0.9752250909805298
mt capra,mt. capra,503,83,11,0.6658570411122072,0.9748685956001282
reeses pieces,reese pieces,367,111,13,0.6833398737976127,0.9748244285583496
mr clean,mr. clean,1115,289,39,0.669852266183536,0.9746976494789124
littleest pet,littlest pet,340,1238,13,0.5485177775077695,0.9744820594787598
dr brandt,dr. brandt,663,87,13,0.6632611692177246,0.9744160771369934
dr berg,dr. berg,590,179,13,0.6283433446700661,0.974206805229187
gift sister,gifts sister,2064,1814,39,0.5186664132626256,0.9739217162132264
thaw tray,thawing tray,1762,96,12,0.5937840242703876,0.973783314228058
curvy women,curvy woman,1582,182,10,0.5470090272797533,0.9736209511756896
monologue men,monologues men,207,30,10,0.765195413801652,0.9735201001167296
trees seeds,tree seeds,845,705,21,0.5719885881962286,0.973496913909912
cat coloring,cats coloring,889,91,13,0.6437319255440229,0.9731832146644592
solo 3,solo3,1305,533,27,0.5864618152264313,0.9730536937713624
ny yankees,york yankees,475,1127,15,0.5474212161786484,0.972866415977478
st teresa,st. teresa,466,90,18,0.7138584814902604,0.9727441072463988
1st christmas,first christmas,711,1398,14,0.5053506978084807,0.9724791049957277
dr brown,dr. brown,3705,2249,162,0.6107448404616056,0.972138285636902
face woman,face women,250,2653,14,0.5288073268252926,0.971737027168274
ps vita,playstation vita,1498,213,22,0.6135171819132591,0.9717174768447876
girl night,girls night,1068,1149,33,0.5712478599641875,0.9715313911437988
hawaii 5,hawaii five,195,130,14,0.7180761856869098,0.9711032509803772
greys anatomy,grey anatomy,1510,1004,37,0.569302907900321,0.9708731174468994
emerils big,emeril big,614,198,18,0.6512397050380324,0.970816969871521
women waist,womens waist,2405,393,16,0.5200387196398553,0.9706612229347228
feet cushions,foot cushions,639,519,11,0.5473572118643965,0.9705770015716552
hero 7,hero7,2291,348,23,0.5631290268150851,0.9704231023788452
tab3,tab 3,586,1350,14,0.5185870268690994,0.9703912138938904
